Charizard,Start:Start:Start:Start:Start:Start:Start:Start:Start:7:10:17:21:28:32:36:41:47:56:62:71:77:
6,Flare Blitz:Heat Wave:Dragon Claw:Shadow Claw:Air Slash:Scratch:Growl:Ember:Smokescreen:Ember:Smokescreen:Dragon Rage:Scary Face:Fire Fang:Flame Burst:Wing Attack:Slash:Flamethrower:Fire Spin:Inferno:Heat Wave:Flare Blitz :Hone Claws:Dragon Claw:Roar:Toxic:Hidden Power:Sunny Day:Hyper Beam:Protect:Roost:Frustration:Solar Beam:Earthquake:Return:Dig:Brick Break:Double Team:Flamethrower:Fire Blast:Rock Tomb:Aerial Ace:Facade:Flame Charge:Rest:Attract:Round:Echoed Voice:Overheat:Steel Wing:Focus Blast:Fling:Sky Drop:Incinerate:Will-O-Wisp:Shadow Claw:Giga Impact:Swords Dance:Bulldoze:Rock Slide:Dragon Tail:Swagger:Sleep Talk:Substitute:Rock Smash:Power-Up Punch:Confide:Cut:Fly:Strength :Air Cutter:Ancient Power:Beat Up:Belly Drum:Bite:Counter:Crunch:Dragon Dance:Dragon Pulse:Dragon Rush:Flare Blitz:Focus Punch:Metal Claw:Outrage :Blast Burn:Fire Pledge :Blast Burn:Dragon Pulse:Fire Pledge:Fire Punch:Heat Wave:Iron Tail:Outrage:Roost:Sleep Talk:Snore:Tailwind:Thunderpunch:Secret Power:Steel Wing:Endure:Captivate:Natural Gift:Defog:Air Cutter:Fury Cutter:Ominous Wind:Swift:Mud-slap:
Squirtle,Start:4:7:10:13:16:19:22:25:28:31:34:37:40:
7,Tackle:Tail Whip:Water Gun:Withdraw:Bubble:Bite:Rapid Spin:Protect:Water Pulse:Aqua Tail:Skull Bash:Iron Defense:Rain Dance:Hydro Pump :Toxic:Hail:Hidden Power:Ice Beam:Blizzard:Protect:Rain Dance:Frustration:Return:Dig:Brick Break:Double Team:Rock Tomb:Facade:Rest:Attract:Round:Scald:Fling:Gyro Ball:Swagger:Sleep Talk:Substitute:Rock Smash:Power-Up Punch:Confide:Surf:Strength:Waterfall :Aqua Jet:Aura Sphere:Aqua Ring:Brine:Dragon Pulse:Fake Out:Flail:Foresight:Haze:Mirror Coat:Mist:Mud Sport:Muddy Water:Refresh:Water Spout:Yawn :Water Pledge :Aqua Tail:Ice Punch:Icy Wind:Iron Defense:Iron Tail:Sleep Talk:Snore:Water Pledge:Zen Headbutt:Focus Punch:Secret Power:Endure:Captivate:Natural Gift:Whirlpool:Mud-slap:Rollout:Headbutt:Dynamicpunch:Defense Curl:Mega Punch:Mega Kick:Body Slam:Double-edge:Counter:Seismic Toss:Mimic:
Wartortle,Start :Start :Start :4:7:10:13:16:20:24:28:32:36:40:44:48:
8,Tackle:Tail Whip:Bubble:Tail Whip:Bubble:Withdraw:Water Gun:Bite:Rapid Spin:Protect:Water Pulse:Aqua Tail:Skull Bash:Iron Defense:Rain Dance:Hydro Pump :Toxic:Hail:Hidden Power:Ice Beam:Blizzard:Protect:Rain Dance:Frustration:Return:Dig:Brick Break:Double Team:Rock Tomb:Facade:Rest:Attract:Round:Scald:Fling:Gyro Ball:Swagger:Sleep Talk:Substitute:Rock Smash:Power-Up Punch:Confide:Surf:Strength:Waterfall :Aqua Jet:Aura Sphere:Aqua Ring:Brine:Dragon Pulse:Fake Out:Flail:Foresight:Haze:Mirror Coat:Mist:Mud Sport:Muddy Water:Refresh:Water Spout:Yawn :Water Pledge :Aqua Tail:Ice Punch:Icy Wind:Iron Defense:Iron Tail:Sleep Talk:Snore:Water Pledge:Zen Headbutt:Focus Punch:Secret Power:Endure:Captivate:Natural Gift:Whirlpool:Mud-slap:Rollout:Headbutt:Dynamicpunch:Defense Curl:Mega Punch:Mega Kick:Body Slam:Double-edge:Counter:Seismic Toss:Mimic:
Blastoise,Start :Start :Start :Start :Start :4:7:10:13:16:20:24:28:32:39:46:53:60:
9,Flash Cannon:Tackle:Tail Whip:Bubble:Withdraw:Tail Whip:Bubble:Withdraw:Water Gun:Bite:Rapid Spin:Protect:Water Pulse:Aqua Tail:Skull Bash:Iron Defense:Rain Dance:Hydro Pump :Roar:Toxic:Hail:Hidden Power:Ice Beam:Blizzard:Hyper Beam:Protect:Rain Dance:Frustration:Smack Down:Earthquake:Return:Dig:Brick Break:Double Team:Rock Tomb:Facade:Rest:Attract:Round:Focus Blast:Scald:Fling:Giga Impact:Gyro Ball:Bulldoze:Rock Slide:Dragon Tail:Swagger:Sleep Talk:Substitute:Flash Cannon:Rock Smash:Dark Pulse:Power-Up Punch:Confide:Surf:Strength:Waterfall :Aqua Jet:Aura Sphere:Aqua Ring:Brine:Dragon Pulse:Fake Out:Flail:Foresight:Haze:Mirror Coat:Mist:Mud Sport:Muddy Water:Refresh:Water Spout:Yawn :Hydro Cannon:Water Pledge :Aqua Tail:Hydro Cannon:Ice Punch:Icy Wind:Iron Defense:Iron Tail:Outrage:Signal Beam:Sleep Talk:Snore:Water Pledge:Zen Headbutt:Focus Punch:Secret Power:Endure:Avalanche:Captivate:Natural Gift:Whirlpool:Mud-slap:Rollout:Headbutt:Dynamicpunch:Defense Curl:Mega Punch:Mega Kick:Body Slam:Double-edge:Counter:
Caterpie,Start:Start:15:
10,Tackle:String Shot:Bug Bite:Bug Bite:Electroweb:Snore:
Metapod,Start:7:
11,Harden:Harden:Tackle:String Shot:Bug Bite:
Butterfree,Start:10:12:12:12:16:18:22:24:28:30:34:36:40:42:46:
12,Confusion:Confusion:Poisonpowder:Stun Spore:Sleep Powder:Gust:Supersonic:Whirlwind:Psybeam:Silver Wind:Tailwind:Rage Powder:Safeguard:Captivate:Bug Buzz:Quiver Dance:Toxic:Venoshock:Hidden Power:Sunny Day:Hyper Beam:Protect:Rain Dance:Safeguard:Frustration:Solarbeam:Return:Psychic:Shadow Ball:Double Team:Aerial Ace:Facade:Rest:Attract:Thief:Round:Energy Ball:Acrobatics:Giga Impact:Flash:Struggle Bug:Psych Up:Dream Eater:Swagger:U-turn:Substitute:Bug Bite:Electroweb:Giga Drain:Roost:Signal Beam:Skill Swap:Sleep Talk:Snore:Tailwind:Air Cutter:Roost:Harden:Tackle:String Shot:Bug Bite:Secret Power:Endure:Natural Gift:Defog:Air Cutter:Ominous Wind:Swift:Twister:String Shot:Nightmare:Double-edge:Mimic:Morning Sun:
Weedle,Start:Start:15:
13,Poison Sting:String Shot:Bug Bite:Bug Bite:Electroweb:
Kakuna,Start:7:
14,Harden:Harden:Poison Sting:String Shot:Bug Bite:
Beedrill,Start:10:13:16:19:22:25:28:31:34:37:40:
15,Fury Attack:Fury Attack:Focus Energy:Twineedle:Rage:Pursuit:Toxic Spikes:Pin Missile:Agility:Assurance:Poison Jab:Endeavor:Toxic:Venoshock:Hidden Power:Sunny Day:Hyper Beam:Protect:Frustration:Solarbeam:Return:Brick Break:Double Team:Sludge Bomb:Aerial Ace:Facade:Rest:Attract:Thief:Round:False Swipe:Acrobatics:Payback:Giga Impact:Flash:Swords Dance:Struggle Bug:X-scissor:Poison Jab:Swagger:U-turn:Substitute:Rock Smash:Cut:Bug Bite:Drill Run:Electroweb:Endeavor:Giga Drain:Knock Off:Roost:Sleep Talk:Snore:Tailwind:Harden:Poison Sting:String Shot:Bug Bite:Secret Power:Endure:Silver Wind:Captivate:Natural Gift:Defog:Air Cutter:Fury Cutter:Ominous Wind:Swift:String Shot:Double-edge:Mimic:Baton Pass:
Pidgey,Start:5:9:13:17:21:25:29:33:37:41:45:49:53:
16,Tackle:Sand-attack:Gust:Quick Attack:Whirlwind:Twister:Featherdance:Agility:Wing Attack:Roost:Tailwind:Mirror Move:Air Slash:Hurricane:Toxic:Hidden Power:Sunny Day:Protect:Rain Dance:Frustration:Return:Double Team:Aerial Ace:Facade:Rest:Attract:Thief:Round:Work Up:Swagger:Pluck:U-turn:Substitute:Fly:Pursuit:Faint Attack:Foresight:Steel Wing:Air Cutter:Air Slash:Brave Bird:Uproar:Defog:Heat Wave:Roost:Sleep Talk:Snore:Tailwind:Uproar:Secret Power:Secret Power:Endure:Captivate:Natural Gift:Ominous Wind:Swift:Mud-slap:Double-edge:Mimic:
Pidgeotto,Start:Start:Start:5:9:13:17:22:27:32:37:42:47:52:57:62:
17,Tackle:Sand-attack:Gust:Sand-attack:Gust:Quick Attack:Whirlwind:Twister:Featherdance:Agility:Wing Attack:Roost:Tailwind:Mirror Move:Air Slash:Hurricane:Toxic:Hidden Power:Sunny Day:Protect:Rain Dance:Frustration:Return:Double Team:Aerial Ace:Facade:Rest:Attract:Thief:Round:Work Up:Swagger:Pluck:U-turn:Substitute:Fly:Pursuit:Faint Attack:Foresight:Steel Wing:Air Cutter:Air Slash:Brave Bird:Uproar:Defog:Heat Wave:Roost:Sleep Talk:Snore:Tailwind:Uproar:Secret Power:Endure:Captivate:Natural Gift:Ominous Wind:Swift:Mud-slap:Double-edge:Mimic:Refresh:
Pidgeot,Start:Start:Start:Start:5:9:13:17:22:27:32:38:44:50:56:62:68:
18,Tackle:Sand-attack:Gust:Quick Attack:Sand-attack:Gust:Quick Attack:Whirlwind:Twister:Featherdance:Agility:Wing Attack:Roost:Tailwind:Mirror Move:Air Slash:Hurricane:Toxic:Hidden Power:Sunny Day:Hyper Beam:Protect:Rain Dance:Frustration:Return:Double Team:Aerial Ace:Facade:Rest:Attract:Thief:Round:Giga Impact:Work Up:Swagger:Pluck:U-turn:Substitute:Fly:Pursuit:Faint Attack:Foresight:Steel Wing:Air Cutter:Air Slash:Brave Bird:Uproar:Defog:Heat Wave:Roost:Sky Attack:Sleep Talk:Snore:Tailwind:Uproar:Secret Power:Endure:Captivate:Natural Gift:Ominous Wind:Swift:Mud-slap:Double-edge:Mimic:
Rattata,Start:Start:4:7:10:13:16:19:22:25:28:31:34:
19,Tackle:Tail Whip:Quick Attack:Focus Energy:Bite:Pursuit:Hyper Fang:Sucker Punch:Crunch:Assurance:Super Fang:Double-edge:Endeavor:Toxic:Hidden Power:Sunny Day:Taunt:Ice Beam:Blizzard:Protect:Rain Dance:Frustration:Thunderbolt:Thunder:Return:Dig:Shadow Ball:Double Team:Facade:Rest:Attract:Thief:Round:Charge Beam:Retaliate:Thunder Wave:Work Up:Grass Knot:Swagger:Pluck:U-turn:Substitute:Wild Charge:Rock Smash:Cut:Screech:Flame Wheel:Fury Swipes:Bite:Counter:Reversal:Uproar:Last Resort:Me First:Revenge:Final Gambit:Covet:Endeavor:Icy Wind:Iron Tail:Last Resort:Sleep Talk:Snore:Super Fang:Uproar:Zen Headbutt:Iron Tail:Shock Wave:Secret Power:Endure:Captivate:Natural Gift:Swift:Mud-slap:Headbutt:Defense Curl:Body Slam:Mimic:
Raticate,Start:Start:Start:Start:Start:4:7:10:13:16:19:20:24:29:34:39:44:
20,Swords Dance:Tackle:Tail Whip:Quick Attack:Focus Energy:Quick Attack:Focus Energy:Bite:Pursuit:Hyper Fang:Sucker Punch:Scary Face:Crunch:Assurance:Super Fang:Double-edge:Endeavor:Roar:Toxic:Hidden Power:Sunny Day:Taunt:Ice Beam:Blizzard:Hyper Beam:Protect:Rain Dance:Frustration:Thunderbolt:Thunder:Return:Dig:Shadow Ball:Double Team:Facade:Rest:Attract:Thief:Round:Charge Beam:Retaliate:Giga Impact:Thunder Wave:Swords Dance:Work Up:Grass Knot:Swagger:Pluck:U-turn:Substitute:Wild Charge:Rock Smash:Cut:Strength:Screech:Flame Wheel:Fury Swipes:Bite:Counter:Reversal:Uproar:Last Resort:Me First:Revenge:Final Gambit:Covet:Endeavor:Icy Wind:Iron Tail:Last Resort:Sleep Talk:Snore:Super Fang:Uproar:Zen Headbutt:Shock Wave:Secret Power:Endure:Captivate:Natural Gift:Swift:Mud-slap:Headbutt:Defense Curl:Body Slam:Mimic:Refresh:
Spearow,Start:Start:5:9:13:17:21:25:29:33:37:
21,Peck:Growl:Leer:Fury Attack:Pursuit:Aerial Ace:Mirror Move:Agility:Assurance:Roost:Drill Peck:Toxic:Hidden Power:Sunny Day:Protect:Rain Dance:Frustration:Return:Double Team:Aerial Ace:Facade:Rest:Attract:Thief:Round:Echoed Voice:False Swipe:Work Up:Swagger:Pluck:U-turn:Substitute:Fly:Faint Attack:Scary Face:Quick Attack:Tri Attack:Astonish:Sky Attack:Whirlwind:Uproar:Featherdance:Steel Wing:Razor Wind:Drill Run:Heat Wave:Roost:Sky Attack:Sleep Talk:Snore:Tailwind:Uproar:Secret Power:Endure:Captivate:Natural Gift:Defog:Air Cutter:Ominous Wind:Swift:Mud-slap:Twister:Double-edge:Mimic:Baton Pass:
Fearow,Start:Start:Start:Start:Start:5:9:13:17:23:29:35:41:47:53:
22,Pluck:Peck:Growl:Leer:Fury Attack:Leer:Fury Attack:Pursuit:Aerial Ace:Mirror Move:Agility:Assurance:Roost:Drill Peck:Drill Run:Toxic:Hidden Power:Sunny Day:Hyper Beam:Protect:Rain Dance:Frustration:Return:Double Team:Aerial Ace:Facade:Rest:Attract:Thief:Round:Echoed Voice:False Swipe:Giga Impact:Work Up:Swagger:Pluck:U-turn:Substitute:Fly:Faint Attack:Scary Face:Quick Attack:Tri Attack:Astonish:Sky Attack:Whirlwind:Uproar:Featherdance:Steel Wing:Razor Wind:Drill Run:Heat Wave:Roost:Sky Attack:Sleep Talk:Snore:Tailwind:Uproar:Secret Power:Endure:Captivate:Natural Gift:Defog:Air Cutter:Ominous Wind:Swift:Mud-slap:Twister:Double-edge:Mimic:
Ekans,Start:Start:4:9:12:17:20:25:25:25:28:33:36:38:41:44:49:
23,Wrap:Leer:Poison Sting:Bite:Glare:Screech:Acid:Stockpile:Swallow:Spit Up:Acid Spray:Mud Bomb:Gastro Acid:Belch:Haze:Coil:Gunk Shot:Toxic:Venoshock:Hidden Power:Sunny Day:Protect:Rain Dance:Frustration:Earthquake:Return:Dig:Double Team:Sludge Wave:Sludge Bomb:Rock Tomb:Torment:Facade:Rest:Attract:Thief:Round:Payback:Bulldoze:Rock Slide:Infestation:Poison Jab:Swagger:Sleep Talk:Substitute:Dark Pulse:Confide:Strength:Beat Up:Disable:Iron Tail:Poison Fang:Poison Tail:Pursuit:Scary Face:Slam:Snatch:Spite:Sucker Punch:Switcheroo:Aqua Tail:Bind:Giga Drain:Seed Bomb:Snore:Secret Power:Endure:Captivate:Natural Gift:
Arbok,Start:Start:Start:Start:Start:Start:Start:4:9:12:17:20:22:27:27:27:32:39:44:48:51:56:63:
24,Ice Fang:Thunder Fang:Fire Fang:Wrap:Leer:Poison Sting:Bite:Poison Sting:Bite:Glare:Screech:Acid:Crunch:Stockpile:Swallow:Spit Up:Acid Spray:Mud Bomb:Gastro Acid:Belch:Haze:Coil:Gunk Shot:Toxic:Venoshock:Hidden Power:Sunny Day:Hyper Beam:Protect:Rain Dance:Frustration:Earthquake:Return:Dig:Double Team:Sludge Wave:Sludge Bomb:Rock Tomb:Torment:Facade:Rest:Attract:Thief:Round:Payback:Giga Impact:Bulldoze:Rock Slide:Dragon Tail:Infestation:Poison Jab:Swagger:Sleep Talk:Substitute:Dark Pulse:Confide:Strength:Beat Up:Disable:Iron Tail:Poison Fang:Poison Tail:Pursuit:Scary Face:Slam:Snatch:Spite:Sucker Punch:Switcheroo:Aqua Tail:Bind:Giga Drain:Seed Bomb:Snore:Secret Power:Endure:Captivate:Natural Gift:
Pikachu,Start:Start:5:7:10:13:18:21:23:26:29:34:37:42:45:50:
25,Tail Whip:Thunder Shock:Growl:Play Nice:Quick Attack:Thunder Wave:Electro Ball:Double Team:Nuzzle:Slam:Thunderbolt:Feint:Agility:Discharge:Light Screen:Thunder:Toxic:Hidden Power:Light Screen:Protect:Rain Dance:Frustration:Thunderbolt:Thunder:Return:Dig:Brick Break:Double Team:Facade:Rest:Attract:Round:Echoed Voice:Fling:Charge Beam:Flash:Volt Switch:Thunder Wave:Grass Knot:Swagger:Sleep Talk:Substitute:Wild Charge:Rock Smash:Confide:Strength:Bestow:Bide:Charge:Disarming Voice:Double Slap:Encore:Endure:Fake Out:Flail:Lucky Chant:Present:Reversal:Thunder Punch:Tickle:Wish:Volt Tackle:Charm:Sweet Kiss:Nasty Plot:Covet:Helping Hand:Iron Tail:Knock Off:Magnet Rise:Signal Beam:Snore:Focus Punch:Shock Wave:Secret Power:Captivate:Natural Gift:
Raichu,Start:Start:Start:Start:
26,Thundershock:Tail Whip:Quick Attack:Thunderbolt:Toxic:Hidden Power:Hyper Beam:Light Screen:Protect:Rain Dance:Frustration:Thunderbolt:Thunder:Return:Dig:Brick Break:Double Team:Facade:Rest:Attract:Thief:Round:Echoed Voice:Focus Blast:Fling:Charge Beam:Giga Impact:Flash:Volt Switch:Thunder Wave:Grass Knot:Swagger:Sleep Talk:Substitute:Wild Charge:Rock Smash:Confide:Strength:Bestow:Bide:Charge:Disarming Voice:Double Slap:Encore:Endure:Fake Out:Flail:Lucky Chant:Present:Reversal:Thunder Punch:Tickle:Wish:Volt Tackle:Growl:Play Nice:Thunder Wave:Electro Ball:Double Team:Nuzzle:Slam:Feint:Agility:Discharge:Light Screen:Thunder:Charm:Sweet Kiss:Nasty Plot:Covet:Helping Hand:Iron Tail:Knock Off:Magnet Rise:Signal Beam:Snore:Focus Punch:Shock Wave:Secret Power:Captivate:Natural Gift:
Sandshrew,Start:Start:3:5:7:9:11:14:17:20:23:26:30:34:38:42:46:
27,Scratch:Defense Curl:Sand Attack:Poison Sting:Rollout:Rapid Spin:Swift:Fury Cutter:Magnitude:Fury Swipes:Sand Tomb:Slash:Dig:Gyro Ball:Swords Dance:Sandstorm:Earthquake:Hone Claws:Toxic:Hidden Power:Sunny Day:Protect:Safeguard:Frustration:Earthquake:Return:Dig:Brick Break:Double Team:Sandstorm:Rock Tomb:Aerial Ace:Facade:Rest:Attract:Thief:Round:Fling:Shadow Claw:Gyro Ball:Swords Dance:Bulldoze:Rock Slide:X-Scissor:Poison Jab:Swagger:Sleep Talk:Substitute:Rock Smash:Confide:Cut:Strength:Chip Away:Counter:Crush Claw:Endure:Flail:Metal Claw:Mud Shot:Night Slash:Rapid Spin:Rock Climb:Rototiller:Covet:Earth Power:Iron Tail:Knock Off:Snore:Stealth Rock:Super Fang:Focus Punch:Secret Power:Captivate:Natural Gift:
Sandslash,Start:Start:Start:Start:3:5:7:9:11:14:17:20:22:23:26:30:34:38:42:46:
28,Scratch:Defense Curl:Sand Attack:Poison Sting:Sand Attack:Poison Sting:Rollout:Rapid Spin:Swift:Fury Cutter:Magnitude:Fury Swipes:Crush Claw:Sand Tomb:Slash:Dig:Gyro Ball:Swords Dance:Sandstorm:Earthquake:Hone Claws:Toxic:Hidden Power:Sunny Day:Hyper Beam:Protect:Safeguard:Frustration:Earthquake:Return:Dig:Brick Break:Double Team:Sandstorm:Rock Tomb:Aerial Ace:Facade:Rest:Attract:Thief:Round:Focus Blast:Fling:Shadow Claw:Giga Impact:Stone Edge:Gyro Ball:Swords Dance:Bulldoze:Rock Slide:X-Scissor:Poison Jab:Swagger:Sleep Talk:Substitute:Rock Smash:Confide:Cut:Strength:Chip Away:Counter:Crush Claw:Endure:Flail:Metal Claw:Mud Shot:Night Slash:Rapid Spin:Rock Climb:Rototiller:Covet:Earth Power:Iron Tail:Knock Off:Snore:Stealth Rock:Super Fang:Focus Punch:Secret Power:Captivate:Natural Gift:
NidoranF,Start:Start:7:9:13:19:21:25:31:33:37:43:45:
29,Growl:Scratch:Tail Whip:Double Kick:Poison Sting:Fury Swipes:Bite:Helping Hand:Toxic Spikes:Flatter:Crunch:Captivate:Poison Fang:Hone Claws:Toxic:Venoshock:Hidden Power:Sunny Day:Ice Beam:Blizzard:Protect:Rain Dance:Frustration:Thunderbolt:Thunder:Return:Dig:Double Team:Sludge Bomb:Aerial Ace:Facade:Rest:Attract:Thief:Round:Echoed Voice:Shadow Claw:Poison Jab:Swagger:Sleep Talk:Substitute:Rock Smash:Confide:Cut:Strength:Beat Up:Charm:Chip Away:Counter:Disable:Endure:Focus Energy:Iron Tail:Poison Tail:Pursuit:Skull Bash:Supersonic:Take Down:Venom Drench:Snore:Super Fang:Water Pulse:Shock Wave:Secret Power:Natural Gift:
Nidorina,Start:Start:7:9:13:20:23:28:35:38:43:50:58:
30,Growl:Scratch:Tail Whip:Double Kick:Poison Sting:Fury Swipes:Bite:Helping Hand:Toxic Spikes:Flatter:Crunch:Captivate:Poison Fang:Hone Claws:Toxic:Venoshock:Hidden Power:Sunny Day:Ice Beam:Blizzard:Protect:Rain Dance:Frustration:Thunderbolt:Thunder:Return:Dig:Double Team:Sludge Bomb:Aerial Ace:Facade:Rest:Attract:Thief:Round:Echoed Voice:Shadow Claw:Poison Jab:Swagger:Sleep Talk:Substitute:Rock Smash:Confide:Cut:Strength:Beat Up:Charm:Chip Away:Counter:Disable:Endure:Focus Energy:Iron Tail:Poison Tail:Pursuit:Skull Bash:Supersonic:Take Down:Venom Drench:Snore:Super Fang:Water Pulse:Shock Wave:Secret Power:Natural Gift:
Nidoqueen,Start:Start:Start:Start:23:35:43:58:
